DateTimeUTC,temp_01ft,temp_05ft,temp_10ft,temp_40ft,temp_70ft
"2025-12-21 07:30:00","56.19662","55.05193","55.09618","54.60015","53.91334"
"2025-12-21 07:30:00","368.3935854"
"2025-12-21 07:45:00","56.20425","54.98935","55.12366","54.60627","53.97439"
"2025-12-21 07:45:00","368.4015872"
"2025-12-21 08:00:00","56.22104","55.03056","55.07482","54.65357","54.0156"
"2025-12-21 08:00:00","1343291.1619327"
"2025-12-21 08:00:00","368.4024959"
"2025-12-21 08:15:00","56.21341","55.04124","55.09772","54.65816","53.99118"
"2025-12-21 08:15:00","368.4043149"
"2025-12-21 08:30:00","56.27446","55.01682","55.06719","54.6841","54.09191"
"2025-12-21 08:30:00","368.4010411"
"2025-12-21 08:45:00","56.21341","55.05193","55.07787","54.65968","54.09191"
"2025-12-21 08:45:00","368.3955853"
"2025-12-21 09:00:00","56.23935","55.01072","55.03666","54.68563","54.08581"
"2025-12-21 09:00:00","368.4019508"
"2025-12-21 09:15:00","56.25462","55.01682","55.06108","54.64442","54.08886"
"2025-12-21 09:15:00","368.4019508"
"2025-12-21 09:30:00","56.24546","55.02598","55.04734","54.66426","54.04307"
"2025-12-21 09:30:00","368.4081343"
"2025-12-21 09:45:00","56.19968","55.02293","55.04277","54.64594","54.17129"
"2025-12-21 09:45:00","368.3995868"
"2025-12-21 10:00:00","56.23783","55.0214","55.04734","54.62","54.25065"
"2025-12-21 10:00:00","368.4083158"
"2025-12-21 10:15:00","56.12794","54.94509","55.03209","54.61695","54.22928"
"2025-12-21 10:15:00","368.4119526"
"2025-12-21 10:30:00","56.16914","54.96035","55.02598","54.65357","54.20792"
"2025-12-21 10:30:00","368.4066789"
"2025-12-21 10:45:00","56.21799","55.03666","55.02293","54.62611","54.16213"
"2025-12-21 10:45:00","368.4024959"
"2025-12-21 11:00:00","56.18899","54.99393","55.03209","54.66121","54.13313"
"2025-12-21 11:00:00","368.4143172"
"2025-12-21 11:15:00","56.07909","55.01987","55.08092","54.64594","54.19265"
"2025-12-21 11:15:00","368.4084978"
"2025-12-21 11:30:00","56.18899","55.01987","54.98477","54.65205","54.1545"
"2025-12-21 11:30:00","368.4088614"
"2025-12-21 11:45:00","56.21341","55.01682","55.09924","54.65663","54.16976"
"2025-12-21 11:45:00","368.4123173"
"2025-12-21 12:00:00","56.2363","55.00919","55.11603","54.64442","54.11176"
"2025-12-21 12:00:00","368.4043149"
"2025-12-21 12:15:00","56.2012","55.02293","55.05956","54.62153","54.21249"
